sample_index,phase,region_id,displacement_model,point_count,displacement_norm_min,displacement_norm_max,displacement_norm_mean,bbox_min_x,bbox_min_y,bbox_min_z,bbox_max_x,bbox_max_y,bbox_max_z,mantle_radius_scale,mantle_radius_rate,volume_scale,volume_rate,aperture_scale,aperture_rate,diagnostic_only,apply_to_driver,apply_to_lbm,apply_to_mpm,apply_to_projection,update_dynamic_solid,driver_integration_enabled,finite_pass,bounds_pass,scope_note
12,0.15000000000000002,mantle_outer,radial_scale_proxy,648,0.001667483407743651,0.010228351060936888,0.007737024600425131,0.367580413614835,0.3688808656455259,0.3982811923052865,0.6324195863851649,0.7875273739650489,0.6017188076947135,0.9409620991253644,-0.6286443148687937,0.8425655976676384,-1.6763848396501402,1.0,7.105427357601002e-15,True,False,False,False,False,False,False,True,True,Step 42 geometry displacement diagnostics only; no driver-coupled geometry update
12,0.15000000000000002,mantle_cavity_proxy,volume_scale_proxy,100,0.001350196869018589,0.005896943576119548,0.00384763740335884,0.4262110600618533,0.5202635436117682,0.455726636037112,0.5737889399381467,0.6973569994633203,0.5442733639628881,0.9409620991253644,-0.6286443148687937,0.8425655976676384,-1.6763848396501402,1.0,7.105427357601002e-15,True,False,False,False,False,False,False,True,True,Step 42 geometry displacement diagnostics only; no driver-coupled geometry update
12,0.15000000000000002,funnel_outlet_proxy,aperture_scale_proxy,8,0.02209708691207961,0.02209708691207961,0.02209708691207961,0.46875,0.390625,0.46875,0.53125,0.421875,0.53125,0.9409620991253644,-0.6286443148687937,0.8425655976676384,-1.6763848396501402,1.0,7.105427357601002e-15,True,False,False,False,False,False,False,True,True,Step 42 geometry displacement diagnostics only; no driver-coupled geometry update
13,0.1625,mantle_outer,radial_scale_proxy,648,0.0018917444864239897,0.011603969571678634,0.008777582770065642,0.36868396576997836,0.3701593165575746,0.39931087927967807,0.6313160342300217,0.786270204815441,0.600689120720322,0.9330220481049563,-0.6384839650145864,0.8213921282798833,-1.70262390670554,1.0,-7.105427357601002e-15,True,False,False,False,False,False,False,True,True,Step 42 geometry displacement diagnostics only; no driver-coupled geometry update
13,0.1625,mantle_cavity_proxy,volume_scale_proxy,100,0.001544300698144369,0.006744686119838715,0.004400772409235708,0.4268344105380967,0.5209303790172343,0.456100646322858,0.5731655894619033,0.6965277937258022,0.5438993536771419,0.9330220481049563,-0.6384839650145864,0.8213921282798833,-1.70262390670554,1.0,-7.105427357601002e-15,True,False,False,False,False,False,False,True,True,Step 42 geometry displacement diagnostics only; no driver-coupled geometry update
13,0.1625,funnel_outlet_proxy,aperture_scale_proxy,8,0.02209708691207961,0.02209708691207961,0.02209708691207961,0.46875,0.390625,0.46875,0.53125,0.421875,0.53125,0.9330220481049563,-0.6384839650145864,0.8213921282798833,-1.70262390670554,1.0,-7.105427357601002e-15,True,False,False,False,False,False,False,True,True,Step 42 geometry displacement diagnostics only; no driver-coupled geometry update
14,0.17500000000000002,mantle_outer,radial_scale_proxy,648,0.0021183215142817516,0.012993794125560577,0.00982888680720675,0.36979891433292006,0.3714509700607977,0.40035119985449363,0.63020108566708,0.7850000528518956,0.5996488001455064,0.9249999999999999,-0.6417638483964936,0.7999999999999999,-1.711370262390659,1.0,7.105427357601002e-15,True,False,False,False,False,False,False,True,True,Step 42 geometry displacement diagnostics only; no driver-coupled geometry update
14,0.17500000000000002,mantle_cavity_proxy,volume_scale_proxy,100,0.0017438268690866347,0.00761611057578561,0.004969359387832724,0.4274751744748003,0.5216158426461625,0.4564851046848802,0.5725248255251997,0.6956754239066416,0.5435148953151198,0.9249999999999999,-0.6417638483964936,0.7999999999999999,-1.711370262390659,1.0,7.105427357601002e-15,True,False,False,False,False,False,False,True,True,Step 42 geometry displacement diagnostics only; no driver-coupled geometry update
14,0.17500000000000002,funnel_outlet_proxy,aperture_scale_proxy,8,0.02209708691207961,0.02209708691207961,0.02209708691207961,0.46875,0.390625,0.46875,0.53125,0.421875,0.53125,0.9249999999999999,-0.6417638483964936,0.7999999999999999,-1.711370262390659,1.0,7.105427357601002e-15,True,False,False,False,False,False,False,True,True,Step 42 geometry displacement diagnostics only; no driver-coupled geometry update
15,0.1875,mantle_outer,radial_scale_proxy,648,0.0023448985421395097,0.014383618679442501,0.010880190844347843,0.37091386289586176,0.37274262356402077,0.40139152042930915,0.6290861371041383,0.78372990088835,0.5986084795706909,0.9169779518950437,-0.6384839650145864,0.7786078717201166,-1.7026239067055435,1.0,-7.105427357601002e-15,True,False,False,False,False,False,False,True,True,Step 42 geometry displacement diagnostics only; no driver-coupled geometry update
