error,experiment_import_pass,experiment_module,legacy_import_pass,legacy_module,pass,same_object,symbol
,True,experiments.steps.step50_one_cycle_proxy.diagnostics,True,src.runtime_geometry_wall_velocity_one_cycle_diagnostics,True,True,PHASE_SEQUENCE
,True,experiments.steps.step50_one_cycle_proxy.diagnostics,True,src.runtime_geometry_wall_velocity_one_cycle_diagnostics,True,True,PREFIX_PHASES
,True,experiments.steps.step50_one_cycle_proxy.diagnostics,True,src.runtime_geometry_wall_velocity_one_cycle_diagnostics,True,True,CONTRACTION_PHASES
,True,experiments.steps.step50_one_cycle_proxy.diagnostics,True,src.runtime_geometry_wall_velocity_one_cycle_diagnostics,True,True,REFILL_PHASES
,True,experiments.steps.step50_one_cycle_proxy.diagnostics,True,src.runtime_geometry_wall_velocity_one_cycle_diagnostics,True,True,WALL_VELOCITY_CLOSURE_TOLERANCE
,True,experiments.steps.step50_one_cycle_proxy.diagnostics,True,src.runtime_geometry_wall_velocity_one_cycle_diagnostics,True,True,summarize_one_cycle_envelope_quality
,True,experiments.steps.step50_one_cycle_proxy.diagnostics,True,src.runtime_geometry_wall_velocity_one_cycle_diagnostics,True,True,compare_one_cycle_components
,True,experiments.steps.step50_one_cycle_proxy.diagnostics,True,src.runtime_geometry_wall_velocity_one_cycle_diagnostics,True,True,summarize_one_cycle_phase_progression
,True,experiments.steps.step50_one_cycle_proxy.diagnostics,True,src.runtime_geometry_wall_velocity_one_cycle_diagnostics,True,True,summarize_contraction_refill_segments
,True,experiments.steps.step50_one_cycle_proxy.diagnostics,True,src.runtime_geometry_wall_velocity_one_cycle_diagnostics,True,True,summarize_cycle_closure
,True,experiments.steps.step50_one_cycle_proxy.diagnostics,True,src.runtime_geometry_wall_velocity_one_cycle_diagnostics,True,True,mass_force_bounceback_one_cycle_envelope
,True,experiments.steps.step50_one_cycle_proxy.diagnostics,True,src.runtime_geometry_wall_velocity_one_cycle_diagnostics,True,True,compare_step49_prefix
,True,experiments.steps.step50_one_cycle_proxy.diagnostics,True,src.runtime_geometry_wall_velocity_one_cycle_diagnostics,True,True,summary_rows
,True,experiments.steps.step50_one_cycle_proxy.envelope,True,src.runtime_geometry_wall_velocity_one_cycle_envelope,True,True,ROW_DESCRIPTOR_PATHS
,True,experiments.steps.step50_one_cycle_proxy.envelope,True,src.runtime_geometry_wall_velocity_one_cycle_envelope,True,True,ROW_NAMES
,True,experiments.steps.step50_one_cycle_proxy.envelope,True,src.runtime_geometry_wall_velocity_one_cycle_envelope,True,True,WALL_VELOCITY_CLOSURE_TOLERANCE
,True,experiments.steps.step50_one_cycle_proxy.envelope,True,src.runtime_geometry_wall_velocity_one_cycle_envelope,True,True,ENVELOPE_FIELDS
,True,experiments.steps.step50_one_cycle_proxy.envelope,True,src.runtime_geometry_wall_velocity_one_cycle_envelope,True,True,load_one_cycle_envelope_inputs
,True,experiments.steps.step50_one_cycle_proxy.envelope,True,src.runtime_geometry_wall_velocity_one_cycle_envelope,True,True,build_one_cycle_phase_sequence
,True,experiments.steps.step50_one_cycle_proxy.envelope,True,src.runtime_geometry_wall_velocity_one_cycle_envelope,True,True,run_one_cycle_envelope_matrix
,True,experiments.steps.step50_one_cycle_proxy.envelope,True,src.runtime_geometry_wall_velocity_one_cycle_envelope,True,True,build_one_cycle_closure_rows
,True,experiments.steps.step50_one_cycle_proxy.envelope,True,src.runtime_geometry_wall_velocity_one_cycle_envelope,True,True,run_one_cycle_row
,True,experiments.steps.step50_one_cycle_proxy.envelope,True,src.runtime_geometry_wall_velocity_one_cycle_envelope,True,True,summarize_one_cycle_envelope_matrix
,True,experiments.steps.step50_one_cycle_proxy.envelope,True,src.runtime_geometry_wall_velocity_one_cycle_envelope,True,True,write_one_cycle_envelope_rows
,True,experiments.steps.step50_one_cycle_proxy.envelope,True,src.runtime_geometry_wall_velocity_one_cycle_envelope,True,True,write_csv_rows
,True,experiments.steps.step50_one_cycle_proxy.envelope,True,src.runtime_geometry_wall_velocity_one_cycle_envelope,True,True,write_json
,True,experiments.steps.step50_one_cycle_proxy.envelope,True,src.runtime_geometry_wall_velocity_one_cycle_envelope,True,True,read_json
,True,experiments.steps.step50_one_cycle_proxy.state_guard,True,src.runtime_geometry_wall_velocity_one_cycle_state_guard,True,True,STATE_GUARD_FIELDS
,True,experiments.steps.step50_one_cycle_proxy.state_guard,True,src.runtime_geometry_wall_velocity_one_cycle_state_guard,True,True,compute_step50_state_mutation_guard
,True,experiments.steps.step50_one_cycle_proxy.state_guard,True,src.runtime_geometry_wall_velocity_one_cycle_state_guard,True,True,forbidden_output_counts
